,id,Name,X,Y,LONGITUDE,LATITUDE,MESSAGEDATE,USERID,USERSCREENNAME,MESSAGETEXT,LOCATION,HASHTAGS,ISRETWEET,datetime,Cluster,parsed_tweets,stemmed_tokens,is_new_years_tweet,is_eastender_tweet
19406,550767691213328384,,-0.077894,51.575127,-0.07789400219917297,51.57512664794922,01/01/2015 21:37:05,139395702,R9Lemba,Ronnie is alive   ,Hackney,,0,2015-01-01 21:37:05,1,Ronnie is alive,"['ronni', 'is', 'aliv']",False,True
19407,550767984000897024,,-0.032311,51.553123,-0.03231099992990494,51.553123474121094,01/01/2015 21:38:14,1635350191,E9Bangers,Eastenders just proved it. What a shit soap. Imagine bringing someone back from the dead. Good night       ,Hackney,,0,2015-01-01 21:38:14,1,Eastenders just proved it What a shit soap Imagine bringing someone back from the dead Good night,"['eastend', 'just', 'prove', 'it', 'what', 'a', 'shit', 'soap', 'imagin', 'bring', 'someon', 'back', 'from', 'the', 'dead', 'good', 'night']",False,True
19410,550768472121434112,,-0.062902,51.534893,-0.06290200352668762,51.53489303588867,01/01/2015 21:40:11,68745119,MsPorchaStarh,Emma pisses me off #EastEnders,Hackney,EastEnders,0,2015-01-01 21:40:11,1,Emma pisses me off,"['emma', 'piss', 'me', 'off']",False,True
19419,550767995237449729,,-0.07796499999999999,51.57509,-0.07796499878168106,51.57508850097656,01/01/2015 21:38:17,139395702,R9Lemba,I swear I thought I saw a year in my mum's eyes when we thought Ronnie was dead,Hackney,,0,2015-01-01 21:38:17,1,I swear I thought I saw a year in my mum s eyes when we thought Ronnie was dead,"['I', 'swear', 'I', 'thought', 'I', 'saw', 'a', 'year', 'in', 'my', 'mum', 's', 'eye', 'when', 'we', 'thought', 'ronni', 'wa', 'dead']",True,True
19425,550767704022736896,,-0.064578,51.548683000000004,-0.06457799673080444,51.548683166503906,01/01/2015 21:37:08,542867454,xCvssie_, @SELECTASMALLZ: Gonaa Buss Two Tune At #WHLN For Ronnie       ,Hackney,WHLN,0,2015-01-01 21:37:08,1,Gonaa Buss Two Tune At For Ronnie,"['gonaa', 'buss', 'two', 'tune', 'At', 'for', 'ronni']",False,True
19429,550772142892392448,,-0.054616,51.537098,-0.05461600050330162,51.5370979309082,01/01/2015 21:54:46,2806292947,charleneash3,I need to see Eastenders   ,Hackney,,0,2015-01-01 21:54:46,1,I need to see Eastenders,"['I', 'need', 'to', 'see', 'eastend']",False,True
19438,550772978808815617,,-0.064859,51.54042000000001,-0.06485900282859802,51.54042053222656,01/01/2015 21:58:05,630014641,kristal_bayliss,Happy 2015 @ifiwasachild from all of us in Sparkly EastEnd #handmade #partyhats #childrensparty http://t.co/7hOAzGoto7,Hackney,handmade partyhats childrensparty,0,2015-01-01 21:58:05,1,Happy from all of us in Sparkly EastEnd,"['happi', 'from', 'all', 'of', 'us', 'in', 'sparkli', 'eastend']",True,True
19444,550769208695734273,,-0.095676,51.564372999999996,-0.0956759974360466,51.56437301635742,01/01/2015 21:43:06,621844062,kashmontreal_,jokes aside tho; Emma is prolonginggggggggggggg         ,Hackney,,0,2015-01-01 21:43:06,1,jokes aside tho Emma is prolonginggggggggggggg,"['joke', 'asid', 'tho', 'emma', 'is', 'prolonginggggggggggggg']",False,True
19445,550770137591463937,,-0.095954,51.56429,-0.09595400094985962,51.56428909301758,01/01/2015 21:46:48,621844062,kashmontreal_,Sooo Spurs and Eastenders done a maad ting today   ,Hackney,,0,2015-01-01 21:46:48,1,Sooo Spurs and Eastenders done a maad ting today,"['sooo', 'spur', 'and', 'eastend', 'done', 'a', 'maad', 'ting', 'today']",False,True
19452,550766812728946688,,-0.032215,51.553093,-0.032214999198913574,51.55309295654297,01/01/2015 21:33:35,1635350191,E9Bangers,Ronnie is dead!!!,Hackney,,0,2015-01-01 21:33:35,1,Ronnie is dead,"['ronni', 'is', 'dead']",False,True
19453,550767136709562368,,-0.064714,51.548786,-0.06471399962902069,51.54878616333008,01/01/2015 21:34:52,542867454,xCvssie_,RONNIE DEYAAAAAAAAAAAAAA,Hackney,,0,2015-01-01 21:34:52,1,RONNIE DEYAAAAAAAAAAAAAA,"['ronni', 'deyaaaaaaaaaaaaaa']",False,True
19454,550767356180701185,,-0.095809,51.56419,-0.09580899775028227,51.56418991088867,01/01/2015 21:35:45,550995833,angelmarcille,Back from dah dead.,Hackney,,0,2015-01-01 21:35:45,1,Back from dah dead,"['back', 'from', 'dah', 'dead']",False,True
19456,550767728802680833,,-0.095884,51.564323,-0.09588400274515152,51.56432342529297,01/01/2015 21:37:13,621844062,kashmontreal_,Na serious; Ronnie is bae she can't due sorry,Hackney,,0,2015-01-01 21:37:13,1,Na serious Ronnie is bae she can t due sorry,"['Na', 'seriou', 'ronni', 'is', 'bae', 'she', 'can', 't', 'due', 'sorri']",False,True
19458,550768373895024641,,-0.095817,51.56428,-0.09581699967384336,51.56428146362305,01/01/2015 21:39:47,550995833,angelmarcille,But you know Ronnie has to catch a body now.,Hackney,,0,2015-01-01 21:39:47,1,But you know Ronnie has to catch a body now,"['but', 'you', 'know', 'ronni', 'ha', 'to', 'catch', 'a', 'bodi', 'now']",False,True
19459,550768531030429696,,-0.060066999999999995,51.557629999999996,-0.06006700173020362,51.5576286315918,01/01/2015 21:40:25,291976869,TrizzyMortality,I ain't gonna lie Eastenders was         ,Hackney,,0,2015-01-01 21:40:25,1,I ain t gonna lie Eastenders was,"['I', 'ain', 't', 'gon', 'na', 'lie', 'eastend', 'wa']",False,True
19460,550769029200478208,,-0.063277,51.53496,-0.0632769986987114,51.53496170043945,01/01/2015 21:42:24,68745119,MsPorchaStarh,Ain't even gonna lie that eastenders brought tears to my eyes     ,Hackney,,0,2015-01-01 21:42:24,1,Ain t even gonna lie that eastenders brought tears to my eyes,"['ain', 't', 'even', 'gon', 'na', 'lie', 'that', 'eastend', 'brought', 'tear', 'to', 'my', 'eye']",False,True
19467,550768539179974656,,-0.064975,51.566914000000004,-0.06497500091791153,51.56691360473633,01/01/2015 21:40:27,186914270,RealistSam_,@Aiyysha more interested in who killed Lucy because we have been waiting for ages ,Hackney,,0,2015-01-01 21:40:27,1,more interested in who killed Lucy because we have been waiting for ages,"['more', 'interest', 'in', 'who', 'kill', 'luci', 'becaus', 'we', 'have', 'been', 'wait', 'for', 'age']",False,True
19470,550770559832031233,,-0.06492300000000001,51.548798,-0.0649230033159256,51.54879760742188,01/01/2015 21:48:28,542867454,xCvssie_, @zainmvo: I still can't believe Emma got lenged one time and no one even cared          ,Hackney,,0,2015-01-01 21:48:28,1,I still can t believe Emma got lenged one time and no one even cared,"['I', 'still', 'can', 't', 'believ', 'emma', 'got', 'leng', 'one', 'time', 'and', 'no', 'one', 'even', 'care']",False,True
19471,550771355709636608,,-0.064836,51.566864,-0.06483600288629532,51.56686401367188,01/01/2015 21:51:38,186914270,RealistSam_, @sisicaro_:  @Ivz___: All Eastenders needed at the end was   'Glory Be To God'  tbh       !!,Hackney,,0,2015-01-01 21:51:38,1,All Eastenders needed at the end was Glory Be To God tbh,"['all', 'eastend', 'need', 'at', 'the', 'end', 'wa', 'glori', 'Be', 'To', 'god', 'tbh']",False,True
19483,550733036716064769,,-0.098397,51.56428,-0.09839700162410736,51.56428146362305,01/01/2015 19:19:22,38287378,arebythree,I sink ze referee had a great game. I want to say well done Phil Dowd.,Hackney,,0,2015-01-01 19:19:22,1,I sink ze referee had a great game I want to say well done Phil Dowd,"['I', 'sink', 'ze', 'refere', 'had', 'a', 'great', 'game', 'I', 'want', 'to', 'say', 'well', 'done', 'phil', 'dowd']",False,True
19493,550735580620136451,,-0.08116799999999999,51.553940000000004,-0.08116800338029861,51.55393981933594,01/01/2015 19:29:29,122474432,chriswright35,Unbelievable day of football! Goals galore; one match of the season; and the top two dead level on points. Happy 2015 indeed! #bbcfootball,Hackney,bbcfootball,0,2015-01-01 19:29:29,1,Unbelievable day of football Goals galore one match of the season and the top two dead level on points Happy indeed,"['unbeliev', 'day', 'of', 'footbal', 'goal', 'galor', 'one', 'match', 'of', 'the', 'season', 'and', 'the', 'top', 'two', 'dead', 'level', 'on', 'point', 'happi', 'inde']",True,True
19550,550738376241201153,,-0.06479299999999999,51.566829999999996,-0.06479299813508987,51.56682968139648,01/01/2015 19:40:35,186914270,RealistSam_,Eastenders at 8:30  ,Hackney,,0,2015-01-01 19:40:35,1,Eastenders at,"['eastend', 'at']",False,True
19728,550791436946661377,,-0.078112,51.57492,-0.07811199873685838,51.57492065429688,01/01/2015 23:11:26,139395702,R9Lemba,@juds_kaylen        fuck Eastenders it's shit now man,Hackney,,0,2015-01-01 23:11:26,1,fuck Eastenders it s shit now man,"['fuck', 'eastend', 'it', 's', 'shit', 'now', 'man']",False,True
19767,550791709698064384,,-0.09766699999999999,51.567448,-0.09766700118780136,51.56744766235352,01/01/2015 23:12:31,20551972,pwpellow,@jayefron @ijwarren no babe; you're dead fit now,Hackney,,0,2015-01-01 23:12:31,1,no babe you re dead fit now,"['no', 'babe', 'you', 're', 'dead', 'fit', 'now']",False,True
19770,550798204175142912,,-0.096724,51.564021999999994,-0.0967240035533905,51.56402206420898,01/01/2015 23:38:19,187237810,MYCHELLEUK,If this was the Eastenders on xmas it would've been live,Hackney,,0,2015-01-01 23:38:19,1,If this was the Eastenders on xmas it would ve been live,"['If', 'thi', 'wa', 'the', 'eastend', 'on', 'xma', 'it', 'would', 've', 'been', 'live']",False,True
19807,550841586842890240,,-0.076162,51.554417,-0.07616200298070908,51.55441665649414,02/01/2015 02:30:43,930535758,FadilahhB,Omg I know I'm late but eastenders   I nearly fell out of my fucking seat,Hackney,,0,2015-02-01 02:30:43,1,Omg I know I m late but eastenders I nearly fell out of my fucking seat,"['omg', 'I', 'know', 'I', 'm', 'late', 'but', 'eastend', 'I', 'nearli', 'fell', 'out', 'of', 'my', 'fuck', 'seat']",False,True
19841,550828615395713024,,-0.075277,51.549279999999996,-0.07527700066566467,51.549278259277344,02/01/2015 01:39:10,395438897,BeanieBhebhe,I don't care; I love eastenders .,Hackney,,0,2015-02-01 01:39:10,1,I don t care I love eastenders,"['I', 'don', 't', 'care', 'I', 'love', 'eastend']",False,True
19851,550859105532116996,,-0.053948,51.564674,-0.053948000073432915,51.564674377441406,02/01/2015 03:40:19,400160693,MrAlsss,@AlberinaH_ Nahh I was just waiting on Phil to ride out on Nick tbh; but the episode ended    I know you were crying your eyes out tho,Hackney,,0,2015-02-01 03:40:19,1,Nahh I was just waiting on Phil to ride out on Nick tbh but the episode ended I know you were crying your eyes out tho,"['nahh', 'I', 'wa', 'just', 'wait', 'on', 'phil', 'to', 'ride', 'out', 'on', 'nick', 'tbh', 'but', 'the', 'episod', 'end', 'I', 'know', 'you', 'were', 'cri', 'your', 'eye', 'out', 'tho']",False,True
19882,550856532406308865,,-0.053753999999999996,51.564575,-0.05375400185585022,51.5645751953125,02/01/2015 03:30:06,400160693,MrAlsss,@AlberinaH_ ayy she didn't die,Hackney,,0,2015-02-01 03:30:06,1,ayy she didn t die,"['ayi', 'she', 'didn', 't', 'die']",False,True
19954,550853179630710784,,-0.05372999999999999,51.56462,-0.05372999981045723,51.56462097167969,02/01/2015 03:16:47,400160693,MrAlsss,@AlberinaH_        I still don't know if you're serious about Ronnie dying; if she dies then your ratings shoot down to -235,Hackney,,0,2015-02-01 03:16:47,1,I still don t know if you re serious about Ronnie dying if she dies then your ratings shoot down to,"['I', 'still', 'don', 't', 'know', 'if', 'you', 're', 'seriou', 'about', 'ronni', 'die', 'if', 'she', 'die', 'then', 'your', 'rate', 'shoot', 'down', 'to']",False,True
19963,550857214593085441,,-0.053812,51.564609999999995,-0.053812000900506966,51.56460952758789,02/01/2015 03:32:49,400160693,MrAlsss,@AlberinaH_ ngl you had me; I thought she was dead; especially when she was at the hospital,Hackney,,0,2015-02-01 03:32:49,1,ngl you had me I thought she was dead especially when she was at the hospital,"['ngl', 'you', 'had', 'me', 'I', 'thought', 'she', 'wa', 'dead', 'especi', 'when', 'she', 'wa', 'at', 'the', 'hospit']",False,True
20154,550298805976170498,,-0.201855,51.446957,-0.20185500383377075,51.44695663452149,31/12/2014 14:33:54,914600286,TheIanSangala,News coming in about a 2-year-old boy shooting his mother dead in Walmart with her own gun. Isn't it time to alter US gun laws; surely?,Wandsworth,,0,2014-12-31 14:33:54,2,News coming in about a year old boy shooting his mother dead in Walmart with her own gun Isn t it time to alter US gun laws surely,"['new', 'come', 'in', 'about', 'a', 'year', 'old', 'boy', 'shoot', 'hi', 'mother', 'dead', 'in', 'walmart', 'with', 'her', 'own', 'gun', 'isn', 't', 'it', 'time', 'to', 'alter', 'US', 'gun', 'law', 'sure']",True,True
20310,550275025077809153,,-0.243986,51.45695,-0.24398599565029144,51.45695114135742,31/12/2014 12:59:24,283931062,sindarolorien,but every time that I'm a good person trying to fight oppression or save people's lives I fail and end up dead,Wandsworth,,0,2014-12-31 12:59:24,2,but every time that I m a good person trying to fight oppression or save people s lives I fail and end up dead,"['but', 'everi', 'time', 'that', 'I', 'm', 'a', 'good', 'person', 'tri', 'to', 'fight', 'oppress', 'or', 'save', 'peopl', 's', 'live', 'I', 'fail', 'and', 'end', 'up', 'dead']",False,True
20367,550274699373334529,,-0.24273499999999998,51.4573,-0.24273499846458435,51.457298278808594,31/12/2014 12:58:06,283931062,sindarolorien,funny thing is I always succeed in whatever I want to do (usually kill people) when I'm evil in my dreams,Wandsworth,,0,2014-12-31 12:58:06,2,funny thing is I always succeed in whatever I want to do usually kill people when I m evil in my dreams,"['funni', 'thing', 'is', 'I', 'alway', 'succeed', 'in', 'whatev', 'I', 'want', 'to', 'do', 'usual', 'kill', 'peopl', 'when', 'I', 'm', 'evil', 'in', 'my', 'dream']",False,True
20379,550370378896646144,,-0.21984299999999998,51.46273400000001,-0.21984300017356875,51.46273422241211,31/12/2014 19:18:18,148774157,immykali,#ThingsToLeaveIn2014 emotional tweeting pls; it kills me.,Wandsworth,ThingsToLeaveIn2014,0,2014-12-31 19:18:18,2,emotional tweeting pls it kills me,"['emot', 'tweet', 'pl', 'it', 'kill', 'me']",False,True
20562,550320057340133376,,-0.165812,51.446217,-0.16581200063228607,51.44621658325195,31/12/2014 15:58:20,2873621885,SSwickedtreats,@ScribbleNickC Massive congratulations to my mate; Nick Cooper; on becoming an uncle for the first time!' #newborn #NYE,Wandsworth,newborn NYE,0,2014-12-31 15:58:20,2,Massive congratulations to my mate Nick Cooper on becoming an uncle for the first time,"['massiv', 'congratul', 'to', 'my', 'mate', 'nick', 'cooper', 'on', 'becom', 'an', 'uncl', 'for', 'the', 'first', 'time']",False,True
20607,550273774051147777,,-0.243562,51.456833,-0.2435619980096817,51.45683288574219,31/12/2014 12:54:25,283931062,sindarolorien,whom actually disappeared before the shore scene so I guess the tyrant had him killed too   ,Wandsworth,,0,2014-12-31 12:54:25,2,whom actually disappeared before the shore scene so I guess the tyrant had him killed too,"['whom', 'actual', 'disappear', 'befor', 'the', 'shore', 'scene', 'so', 'I', 'guess', 'the', 'tyrant', 'had', 'him', 'kill', 'too']",False,True
20656,550272595573342208,,-0.243779,51.45684,-0.2437790036201477,51.45684051513672,31/12/2014 12:49:45,283931062,sindarolorien,at some point two of my rebel friends insulted him so he asked his lieutenant to kill them,Wandsworth,,0,2014-12-31 12:49:45,2,at some point two of my rebel friends insulted him so he asked his lieutenant to kill them,"['at', 'some', 'point', 'two', 'of', 'my', 'rebel', 'friend', 'insult', 'him', 'so', 'he', 'ask', 'hi', 'lieuten', 'to', 'kill', 'them']",False,True
20669,550265401872248832,,-0.206182,51.448753,-0.20618200302124026,51.4487533569336,31/12/2014 12:21:09,468777725,EdFernyhough,I am under the impression tht some people think they r invincible; tht they won't die one day like the rest of us,Wandsworth,,0,2014-12-31 12:21:09,2,I am under the impression tht some people think they r invincible tht they won t die one day like the rest of us,"['I', 'am', 'under', 'the', 'impress', 'tht', 'some', 'peopl', 'think', 'they', 'r', 'invinc', 'tht', 'they', 'won', 't', 'die', 'one', 'day', 'like', 'the', 'rest', 'of', 'us']",False,True
20671,550266196910952448,,-0.206193,51.44875,-0.2061930000782013,51.44874954223633,31/12/2014 12:24:19,468777725,EdFernyhough,Ur bucket hat will count 4 nothing when u r dead,Wandsworth,,0,2014-12-31 12:24:19,2,Ur bucket hat will count nothing when u r dead,"['Ur', 'bucket', 'hat', 'will', 'count', 'noth', 'when', 'u', 'r', 'dead']",False,True
20872,550437542085292033,,-0.180073,51.464405,-0.18007299304008484,51.46440505981445,31/12/2014 23:45:11,2505178885,EastEnders_Goss,I'm only spoiler page that knows who dies,Wandsworth,,0,2014-12-31 23:45:11,2,I m only spoiler page that knows who dies,"['I', 'm', 'onli', 'spoiler', 'page', 'that', 'know', 'who', 'die']",False,True
20881,550435718934560768,,-0.18017,51.46448,-0.1801699995994568,51.46448135375977,31/12/2014 23:37:56,2505178885,EastEnders_Goss,The person eastenders is killing off gonna regret it,Wandsworth,,0,2014-12-31 23:37:56,2,The person eastenders is killing off gonna regret it,"['the', 'person', 'eastend', 'is', 'kill', 'off', 'gon', 'na', 'regret', 'it']",False,True
20899,550435559328710657,,-0.180224,51.464405,-0.1802240014076233,51.46440505981445,31/12/2014 23:37:18,2505178885,EastEnders_Goss,Happy new year but for a person in eastenders is not the happiest start to the year,Wandsworth,,0,2014-12-31 23:37:18,2,Happy new year but for a person in eastenders is not the happiest start to the year,"['happi', 'new', 'year', 'but', 'for', 'a', 'person', 'in', 'eastend', 'is', 'not', 'the', 'happiest', 'start', 'to', 'the', 'year']",True,True
20927,550436342107484160,,-0.180203,51.464462,-0.1802030056715012,51.46446228027344,31/12/2014 23:40:25,2505178885,EastEnders_Goss,@TeamJacJossa do u know who dies,Wandsworth,,0,2014-12-31 23:40:25,2,do u know who dies,"['do', 'u', 'know', 'who', 'die']",False,True
20974,550375326459895809,,-0.190323,51.462837,-0.19032299518585205,51.46283721923828,31/12/2014 19:37:57,1051145544,victorwieland,I hope everyone dies at midnight,Wandsworth,,0,2014-12-31 19:37:57,2,I hope everyone dies at midnight,"['I', 'hope', 'everyon', 'die', 'at', 'midnight']",False,True
21101,550381463188013056,,-0.22164,51.440628000000004,-0.2216400057077408,51.44062805175781,31/12/2014 20:02:21,1978677336,I_am_oree,But when my mum went back to naij. Your boy washed plates die oh. I even gave myself name   Oreoluwa Emabong Akpan O.E Akpan.,Wandsworth,,0,2014-12-31 20:02:21,2,But when my mum went back to naij Your boy washed plates die oh I even gave myself name Oreoluwa Emabong Akpan O E Akpan,"['but', 'when', 'my', 'mum', 'went', 'back', 'to', 'naij', 'your', 'boy', 'wash', 'plate', 'die', 'oh', 'I', 'even', 'gave', 'myself', 'name', 'oreoluwa', 'emabong', 'akpan', 'O', 'E', 'akpan']",False,True
21141,550420972982263808,,-0.155861,51.455875,-0.1558610051870346,51.45587539672852,31/12/2014 22:39:20,56084939,avmatthews,@SonosSupport sort it out- have been listening to Phil Collins on loop!,Wandsworth,,0,2014-12-31 22:39:20,2,sort it out have been listening to Phil Collins on loop,"['sort', 'it', 'out', 'have', 'been', 'listen', 'to', 'phil', 'collin', 'on', 'loop']",False,True
21363,550444361247653889,,-0.162751,51.42625,-0.1627510040998459,51.42625045776367,01/01/2015 00:12:17,22175342,sudelondres,Seriously the fireworks this year are INSANE.  EVERYONE on ma timeline shud go n watch.  WE KILLED IT #LondonNYE,Wandsworth,LondonNYE,0,2015-01-01 00:12:17,2,Seriously the fireworks this year are INSANE EVERYONE on ma timeline shud go n watch WE KILLED IT,"['serious', 'the', 'firework', 'thi', 'year', 'are', 'insan', 'everyon', 'on', 'ma', 'timelin', 'shud', 'go', 'n', 'watch', 'WE', 'kill', 'IT']",True,True
21404,550447547962380288,,-0.180172,51.464484999999996,-0.1801719963550568,51.46448516845703,01/01/2015 00:24:56,2505178885,EastEnders_Goss,Every eastenders fan out there happy new year,Wandsworth,,0,2015-01-01 00:24:56,2,Every eastenders fan out there happy new year,"['everi', 'eastend', 'fan', 'out', 'there', 'happi', 'new', 'year']",True,True
21650,550499151604379648,,-0.176324,51.469376000000004,-0.1763239949941635,51.46937561035156,01/01/2015 03:50:00,31399123,lewisxjones,Frozen to death dying of hyperthermia and we're locked out I need to die,Wandsworth,,0,2015-01-01 03:50:00,2,Frozen to death dying of hyperthermia and we re locked out I need to die,"['frozen', 'to', 'death', 'die', 'of', 'hyperthermia', 'and', 'we', 're', 'lock', 'out', 'I', 'need', 'to', 'die']",False,True
21791,550649156436754433,,-0.190376,51.462803,-0.1903759986162185,51.46280288696289,01/01/2015 13:46:04,1051145544,victorwieland,'Cause little do you know I I love you 'til the sun dies http://t.co/DiHHWrhniI,Wandsworth,,0,2015-01-01 13:46:04,2,Cause little do you know I I love you til the sun dies,"['caus', 'littl', 'do', 'you', 'know', 'I', 'I', 'love', 'you', 'til', 'the', 'sun', 'die']",False,True
21948,550640561628413952,,-0.221047,51.439827,-0.2210469990968704,51.43982696533203,01/01/2015 13:11:54,492565295,Claudia80sGirl,Listening to Curiosity killed the cat @Absolute80s whatever happened to them ? Just being curious & it won't kill me as I'm not a cat,Wandsworth,,0,2015-01-01 13:11:54,2,Listening to Curiosity killed the cat whatever happened to them Just being curious it won t kill me as I m not a cat,"['listen', 'to', 'curios', 'kill', 'the', 'cat', 'whatev', 'happen', 'to', 'them', 'just', 'be', 'curiou', 'it', 'won', 't', 'kill', 'me', 'as', 'I', 'm', 'not', 'a', 'cat']",False,True
22031,550639627892432896,,-0.16125799999999998,51.42647,-0.16125799715518951,51.42647171020508,01/01/2015 13:08:12,2495417939,HulettChristine,2013 two family members died in the Philippines there was an earthquake. Last year two uncles died there was a tsunami,Wandsworth,,0,2015-01-01 13:08:12,2,two family members died in the Philippines there was an earthquake Last year two uncles died there was a tsunami,"['two', 'famili', 'member', 'die', 'in', 'the', 'philippin', 'there', 'wa', 'an', 'earthquak', 'last', 'year', 'two', 'uncl', 'die', 'there', 'wa', 'a', 'tsunami']",True,True
22078,550705126974160896,,-0.180242,51.46447,-0.18024200201034546,51.46446990966797,01/01/2015 17:28:28,2505178885,EastEnders_Goss,Who will die    http://t.co/y1qoWjZtSH,Wandsworth,,0,2015-01-01 17:28:28,2,Who will die,"['who', 'will', 'die']",False,True
22127,550702105435324417,,-0.180199,51.46451,-0.18019899725914,51.46451187133789,01/01/2015 17:16:28,2505178885,EastEnders_Goss,?? Who will die tonight 8:30 BBCOne BBCOne HD http://t.co/gSInRMhRy0,Wandsworth,,0,2015-01-01 17:16:28,2,Who will die tonight BBCOne BBCOne HD,"['who', 'will', 'die', 'tonight', 'bbcone', 'bbcone', 'HD']",False,True
22149,550704233381896193,,-0.180267,51.46451,-0.1802670061588288,51.46451187133789,01/01/2015 17:24:55,2505178885,EastEnders_Goss,Who will die ?    http://t.co/HUQhjGMQ3n,Wandsworth,,0,2015-01-01 17:24:55,2,Who will die,"['who', 'will', 'die']",False,True
22274,550623391787794432,,-0.21884,51.457394,-0.21884000301361084,51.45739364624024,01/01/2015 12:03:41,134569782,campbellist,@SelfieMadeBoy that's ok then. I though it was where good taste had gone to die.,Wandsworth,,0,2015-01-01 12:03:41,2,that s ok then I though it was where good taste had gone to die,"['that', 's', 'ok', 'then', 'I', 'though', 'it', 'wa', 'where', 'good', 'tast', 'had', 'gone', 'to', 'die']",False,True
22276,550627148676210688,,-0.180143,51.464459999999995,-0.18014299869537356,51.46445846557617,01/01/2015 12:18:37,2505178885,EastEnders_Goss,EastEnders' Dexter Hartman will depart screens very soon as Khali Best bows out! Could it be car crash,Wandsworth,,0,2015-01-01 12:18:37,2,EastEnders Dexter Hartman will depart screens very soon as Khali Best bows out Could it be car crash,"['eastend', 'dexter', 'hartman', 'will', 'depart', 'screen', 'veri', 'soon', 'as', 'khali', 'best', 'bow', 'out', 'could', 'it', 'be', 'car', 'crash']",False,True
22277,550629354045452289,,-0.180196,51.46442800000001,-0.18019600212574005,51.46442794799805,01/01/2015 12:27:22,2505178885,EastEnders_Goss,@Kalfie4everX_X @Soap_loverxx @dominictc @bbceastenders @EastEndersPress why would Ronnie look shocked #roxy http://t.co/jlefNoHZpC,Wandsworth,roxy,0,2015-01-01 12:27:22,2,why would Ronnie look shocked,"['whi', 'would', 'ronni', 'look', 'shock']",False,True
22292,550629462946365440,,-0.180205,51.464447,-0.1802050024271012,51.46444702148438,01/01/2015 12:27:48,2505178885,EastEnders_Goss,Does Ronnie look like she's herd bad news? http://t.co/JKFqkv6Xsl,Wandsworth,,0,2015-01-01 12:27:48,2,Does Ronnie look like she s herd bad news,"['doe', 'ronni', 'look', 'like', 'she', 's', 'herd', 'bad', 'news']",False,True
22336,550625792494141440,,-0.150073,51.470383,-0.15007300674915314,51.47038269042969,01/01/2015 12:13:13,130811704,bombaylychee,@MichaelEzra :-)) Yes; that was my dad: an autodidact dead at 60 from too many cigarettes. And he'd just joined U3A to study Bellow...,Wandsworth,,0,2015-01-01 12:13:13,2,Yes that was my dad an autodidact dead at from too many cigarettes And he d just joined U A to study Bellow,"['ye', 'that', 'wa', 'my', 'dad', 'an', 'autodidact', 'dead', 'at', 'from', 'too', 'mani', 'cigarett', 'and', 'he', 'd', 'just', 'join', 'U', 'A', 'to', 'studi', 'bellow']",False,True
22340,550630051814060033,,-0.180205,51.464447,-0.1802050024271012,51.46444702148438,01/01/2015 12:30:09,2505178885,EastEnders_Goss,@Soap_loverxx @OfficialRita if eastenders kill her off I will be gutted & upset roxy should go with a real bang,Wandsworth,,0,2015-01-01 12:30:09,2,if eastenders kill her off I will be gutted upset roxy should go with a real bang,"['if', 'eastend', 'kill', 'her', 'off', 'I', 'will', 'be', 'gut', 'upset', 'roxi', 'should', 'go', 'with', 'a', 'real', 'bang']",False,True
22363,550630799192895488,,-0.180303,51.464455,-0.18030300736427307,51.4644546508789,01/01/2015 12:33:07,2505178885,EastEnders_Goss,@DannyCoonan a year to day you was Killed off @bbceastenders from ronnies Mitchell's @Sam_Womack ...,Wandsworth,,0,2015-01-01 12:33:07,2,a year to day you was Killed off from ronnies Mitchell s,"['a', 'year', 'to', 'day', 'you', 'wa', 'kill', 'off', 'from', 'ronni', 'mitchel', 's']",True,True
22378,550626631543705600,,-0.180107,51.464496999999994,-0.1801069974899292,51.46449661254883,01/01/2015 12:16:33,2505178885,EastEnders_Goss,Eastenders is kicking 2015 with a bang @dominictc .... Don't want to miss   Ps my first post of the year    http://t.co/PPhqArhImz,Wandsworth,,0,2015-01-01 12:16:33,2,Eastenders is kicking with a bang Don t want to miss Ps my first post of the year,"['eastend', 'is', 'kick', 'with', 'a', 'bang', 'don', 't', 'want', 'to', 'miss', 'Ps', 'my', 'first', 'post', 'of', 'the', 'year']",True,True
22441,550681591815872512,,-0.194623,51.455208,-0.19462299346923828,51.45520782470703,01/01/2015 15:54:57,27534993,Ruthladah,Thank you @Joe_Zindani for taking down all the decorations and tidying the house this morning while I die of illness.    #myhousehusband,Wandsworth,myhousehusband,0,2015-01-01 15:54:57,2,Thank you for taking down all the decorations and tidying the house this morning while I die of illness,"['thank', 'you', 'for', 'take', 'down', 'all', 'the', 'decor', 'and', 'tidi', 'the', 'hous', 'thi', 'morn', 'while', 'I', 'die', 'of', 'ill']",False,True
22501,550697262205399040,,-0.180241,51.46447,-0.18024100363254547,51.46446990966797,01/01/2015 16:57:13,2505178885,EastEnders_Goss,Do you know who I miss from eastenders @dominictc May wright she's was just for nominal,Wandsworth,,0,2015-01-01 16:57:13,2,Do you know who I miss from eastenders May wright she s was just for nominal,"['Do', 'you', 'know', 'who', 'I', 'miss', 'from', 'eastend', 'may', 'wright', 'she', 's', 'wa', 'just', 'for', 'nomin']",False,True
